model,mode,n,compliance,ate_p,ate_r,ate_f1,asc_acc,asc_macro_f1,asc_f1_positive,asc_f1_negative,asc_f1_neutral,asc_f1_conflict,e2e_p,e2e_r,e2e_f1,avg_time_s,med_time_s,mem_mb
gemini-3.5-flash,fewshot,405,1.0,0.8046683046683046,0.8618421052631579,0.8322744599745869,0.8732824427480916,0.7330743066384542,0.9407313997477932,0.8467153284671532,0.7162790697674418,0.42857142857142855,0.7063882063882064,0.7516339869281046,0.7283090563647878,2.907821397775968,0.902605899842456,
gemini-3.5-flash,zeroshot,405,0.9950617283950617,0.803921568627451,0.7592592592592593,0.780952380952381,0.8850174216027874,0.7251553368925492,0.9476510067114094,0.8685258964143426,0.64,0.4444444444444444,0.7156862745098039,0.671484888304862,0.6928813559322033,9.2289485276533,1.1065629001241177,
gemma4:e2b,fewshot,405,1.0,0.8187919463087249,0.6421052631578947,0.71976401179941,0.8627049180327869,0.6769578074144638,0.9318885448916409,0.8416289592760181,0.5176470588235295,0.4166666666666667,0.7114093959731543,0.5542483660130719,0.6230712711241735,1.6007291348173893,1.3536642999388278,7678.2
gemma4:e2b,zeroshot,405,1.0,0.7040358744394619,0.6197368421052631,0.6592022393282015,0.832271762208068,0.6617582007142464,0.9179229480737019,0.7731958762886598,0.6333333333333333,0.3225806451612903,0.5904334828101644,0.5163398692810458,0.5509065550906556,2.3176637064211394,2.0691903999540955,7678.2
gemma4:e2b_finetuned,finetuned,405,0.9925925925925926,0.8028169014084507,0.7681940700808625,0.7851239669421487,0.8263157894736842,0.6633994028730871,0.9103840682788051,0.8076923076923077,0.5571428571428572,0.3783783783783784,0.6652601969057665,0.6331994645247657,0.6488340192043895,6.849851188693842,5.021824177999406,
qwen3.5:2b-q4_K_M,fewshot,405,1.0,0.729264475743349,0.6131578947368421,0.6661901358112938,0.6630901287553648,0.4853154147174134,0.7752808988764045,0.700507614213198,0.34782608695652173,0.11764705882352941,0.48826291079812206,0.40784313725490196,0.4444444444444444,3.6901354441942393,3.553717700066045,1630.2
qwen3.5:2b-q4_K_M,zeroshot,405,0.8790123456790123,0.614065180102916,0.5449010654490106,0.5774193548387097,0.7597765363128491,0.5278508771929824,0.8444444444444444,0.783625730994152,0.35,0.13333333333333333,0.46826758147512865,0.4148936170212766,0.4399677679290895,1.867180278511534,1.7698576000984758,1630.2
qwen3:5_2b_finetuned,finetuned,405,1.0,0.8611111111111112,0.8565789473684211,0.8588390501319262,0.8494623655913979,0.6893711322769116,0.9329896907216495,0.7972027972027972,0.6824644549763034,0.3448275862068966,0.7338603425559947,0.7281045751633987,0.7309711286089239,4.35068362134813,4.024167276999833,
